state_name,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Alabama,Autauga County,20484,7439,28190,13045,0.7266406527137282,0.2638879035118836,0.4627527492018446
Alabama,Baldwin County,95798,24934,121808,70864,0.7864672271115197,0.20469919873899908,0.5817680283725206
Alabama,Barbour County,5606,4158,9832,1448,0.5701790073230268,0.4229048006509357,0.14727420667209112
Alabama,Bibb County,7572,1619,9241,5953,0.8193918407098799,0.1751974894491938,0.6441943512606861
Alabama,Blount County,25354,2576,28115,22778,0.9017961942023832,0.09162368842255024,0.8101725057798329
Alabama,Bullock County,1101,2983,4106,-1882,0.2681441792498782,0.7264978080857282,-0.4583536288358499
Alabama,Butler County,5172,3251,8467,1921,0.6108420928309909,0.3839612613676627,0.2268808314633282
Alabama,Calhoun County,34912,13194,48530,21718,0.7193900679991758,0.2718730682052339,0.44751699979394194
Alabama,Chambers County,8711,5405,14221,3306,0.6125448280711624,0.38007172491385977,0.23247310315730263
Alabama,Cherokee County,11358,1553,12984,9805,0.8747689463955638,0.11960874922982132,0.7551601971657425
Alabama,Chilton County,16920,2698,19728,14222,0.8576642335766423,0.13675993511759937,0.720904298459043
Alabama,Choctaw County,4103,2515,6646,1588,0.6173638278663858,0.3784231116461029,0.23894071622028284
Alabama,Clarke County,6965,4927,11946,2038,0.5830403482337184,0.4124393102293655,0.17060103800435297
Alabama,Clay County,5734,993,6757,4741,0.8486014503477874,0.14695870948645848,0.7016427408613289
Alabama,Cleburne County,6988,605,7637,6383,0.9150189865130288,0.07921958884378683,0.8357993976692419
Alabama,Coffee County,17495,4601,22270,12894,0.7855859901212393,0.2066008082622362,0.578985181859003
Alabama,Colbert County,19714,7137,27086,12577,0.7278298752122868,0.26349405596987374,0.4643358192424131
Alabama,Conecuh County,3423,2580,6043,843,0.5664405096806222,0.4269402614595399,0.13950024822108226
Alabama,Coosa County,3758,1478,5264,2280,0.7139057750759878,0.28077507598784196,0.4331306990881459
Alabama,Covington County,14677,2314,17072,12363,0.859711808809747,0.13554358013120898,0.724168228678538
Alabama,Crenshaw County,5000,1457,6480,3543,0.7716049382716049,0.22484567901234567,0.5467592592592593
Alabama,Cullman County,38704,4039,43052,34665,0.8990058533866022,0.09381677970825976,0.8051890736783425
Alabama,Dale County,14476,4484,19103,9992,0.7577867350677904,0.2347275297073758,0.5230592053604146
Alabama,Dallas County,5190,10236,15528,-5046,0.33423493044822256,0.6591962905718701,-0.32496136012364757
Alabama,DeKalb County,25633,3758,29583,21875,0.8664773687590847,0.1270324172666734,0.7394449514924113
Alabama,Elmore County,31374,9774,41491,21600,0.7561639873707551,0.23556915957677568,0.5205948277939794
Alabama,Escambia County,10884,3964,14929,6920,0.7290508406457231,0.2655234777948958,0.4635273628508273
Alabama,Etowah County,35653,10027,46023,25626,0.7746778784520784,0.217869326206462,0.5568085522456163
Alabama,Fayette County,7158,1142,8356,6016,0.8566299664911441,0.136668262326472,0.7199617041646721
Alabama,Franklin County,10417,1568,12077,8849,0.8625486461869669,0.1298335679390577,0.7327150782479093
Alabama,Geneva County,10929,1391,12390,9538,0.8820823244552058,0.1122679580306699,0.7698143664245359
Alabama,Greene County,885,3133,4035,-2248,0.21933085501858737,0.776456009913259,-0.5571251548946716
Alabama,Hale County,3369,3868,7290,-499,0.4621399176954733,0.5305898491083676,-0.06844993141289435
Alabama,Henry County,6989,2263,9301,4726,0.7514245780023653,0.24330717127190624,0.508117406730459
Alabama,Houston County,32469,11352,44195,21117,0.7346758683108949,0.2568616359316665,0.4778142323792284
Alabama,Jackson County,20073,3276,23509,16797,0.8538432089837934,0.13935088689438088,0.7144923220894125
Alabama,Jefferson County,131123,162112,296741,-30989,0.44187692297323256,0.5463080598906117,-0.10443113691737917
Alabama,Lamar County,6033,806,6875,5227,0.8775272727272727,0.11723636363636364,0.7602909090909091
Alabama,Lauderdale County,32708,10326,43454,22382,0.752704008836931,0.23763059787361349,0.5150734109633175
Alabama,Lawrence County,13024,2983,16115,10041,0.8081911262798634,0.18510704312752096,0.6230840831523425
Alabama,Lee County,46020,25798,72695,20222,0.6330559185638627,0.3548799779902332,0.2781759405736295
Alabama,Limestone County,37887,14581,53096,23306,0.7135565767666114,0.27461579026668675,0.4389407864999247
Alabama,Lowndes County,1758,3867,5652,-2109,0.31104033970276007,0.6841825902335457,-0.3731422505307856
Alabama,Macon County,1682,6084,7820,-4402,0.21508951406649615,0.7780051150895141,-0.562915601023018
Alabama,Madison County,105430,87824,196355,17606,0.5369356522624837,0.44727152351608057,0.08966412874640317
Alabama,Marengo County,4995,4631,9673,364,0.5163858161893932,0.4787552982528688,0.03763051793652433
Alabama,Marion County,12245,1197,13523,11048,0.9054943429712342,0.08851586186497079,0.8169784811062635
Alabama,Marshall County,34434,5553,40277,28881,0.8549296124338953,0.13787024852893712,0.7170593639049582
Alabama,Mobile County,100759,72055,174545,28704,0.5772666074651236,0.4128161792088,0.16445042825632356
Alabama,Monroe County,6007,3740,9799,2267,0.6130217369119297,0.38167159914276966,0.23135013776916008
Alabama,Montgomery County,30477,57946,89375,-27469,0.3410013986013986,0.6483468531468531,-0.30734545454545453
Alabama,Morgan County,40449,12392,53369,28057,0.7579118964192696,0.23219471978114636,0.5257171766381232
Alabama,Perry County,1269,3174,4457,-1905,0.2847206641238501,0.7121382095579987,-0.42741754543414856
Alabama,Pickens County,5465,3388,8898,2077,0.6141829624634749,0.3807597212856822,0.23342324117779273
Alabama,Pike County,8224,4899,13214,3325,0.6223702134100196,0.3707431512032693,0.25162706220675035
Alabama,Randolph County,9102,1920,11075,7182,0.8218510158013544,0.17336343115124153,0.6484875846501129
Alabama,Russell County,10078,10422,20679,-344,0.48735432080854973,0.5039895546206297,-0.01663523381207993
Alabama,St. Clair County,35501,7640,43440,27861,0.8172421731123388,0.17587476979742173,0.641367403314917
Alabama,Shelby County,79666,33087,114043,46579,0.6985610690704384,0.2901274080829161,0.40843366098752226
Alabama,Sumter County,1542,3725,5297,-2183,0.29110817443836134,0.7032282424013593,-0.41212006796299794
Alabama,Talladega County,22100,10898,33175,11202,0.6661642803315749,0.3285003767897513,0.33766390354182363
Alabama,Tallapoosa County,14884,4975,19980,9909,0.7449449449449449,0.248998998998999,0.4959459459459459
Alabama,Tuscaloosa County,50724,33399,84879,17325,0.5976036475453292,0.3934895557204962,0.20411409182483303
Alabama,Walker County,25464,4102,29747,21362,0.8560190943624567,0.13789625844622988,0.7181228359162268
Alabama,Washington County,6534,1863,8430,4671,0.7750889679715303,0.2209964412811388,0.5540925266903914
Alabama,Wilcox County,1793,3449,5260,-1656,0.3408745247148289,0.655703422053232,-0.3148288973384031
Alabama,Winston County,10191,884,11129,9307,0.91571569772666,0.07943211429598347,0.8362835834306765
Alaska,State House District 1,4861,3367,8228,1494,0.590787554691298,0.409212445308702,0.18157510938259597
Alaska,State House District 2,4534,4571,9105,-37,0.4979681493684789,0.5020318506315211,-0.00406370126304223
Alaska,State House District 3,4496,6130,10626,-1634,0.4231131187652927,0.5768868812347073,-0.15377376246941463
