state,county,rep2008,dem2008,other2008,turnout2008,rep2012,dem2012,other2012,turnout2012,pop,dem_margin08,dem_margin12,winner08,winner12,pop_decile
alabama,shelby,68945,20575,0,89520,71243,19944,1017,92204,187880,-0.5403261840929401,-0.5625692258764956,Rep (McCain),Rep (Romney),9
alabama,choctaw,4220,3633,0,7853,4150,3785,30,7965,14111,-0.07474850375652617,-0.045998739760554505,Rep (McCain),Rep (Romney),4
alabama,lee,32344,21410,0,53754,32062,21274,779,54115,135010,-0.20340811846560256,-0.2022648867556622,Rep (McCain),Rep (Romney),9
alabama,tallapoosa,13105,6052,0,19157,12303,6252,113,18668,41534,-0.36816829357415043,-0.32611156022635407,Rep (McCain),Rep (Romney),7
alabama,marion,9530,2597,0,12127,9696,2249,159,12104,30792,-0.5716995134823122,-0.623440770196735,Rep (McCain),Rep (Romney),6
alabama,lowndes,1807,5447,0,7254,1754,5747,18,7519,11731,0.5017921146953405,0.5323290227969604,Dem (Obama),Dem (Obama),3
alabama,greene,876,4402,0,5278,799,4514,15,5328,9255,0.6680560818491853,0.6992283079239601,Dem (Obama),Dem (Obama),2
alabama,elmore,25695,8268,0,33963,26223,8940,277,35440,77650,-0.5131172157936578,-0.4915109632283935,Rep (McCain),Rep (Romney),8
alabama,butler,5472,4174,0,9646,5081,4367,35,9483,20895,-0.13456354965788928,-0.07557154953429297,Rep (McCain),Rep (Romney),5
alabama,bullock,1389,4001,0,5390,1250,4058,10,5318,10923,0.48460111317254173,0.5290128108515448,Dem (Obama),Dem (Obama),3
alabama,pike,7981,5856,0,13837,7939,6009,109,14057,32147,-0.15357375153573752,-0.1383710926297677,Rep (McCain),Rep (Romney),6
alabama,marengo,5511,5925,0,11436,5321,6154,34,11509,21296,0.03620146904512067,0.0725925925925926,Dem (Obama),Dem (Obama),5
alabama,crenshaw,4316,1938,0,6254,4326,2048,37,6411,13928,-0.3802366485449312,-0.35738939441481016,Rep (McCain),Rep (Romney),4
alabama,chilton,13934,3666,0,17600,13910,3391,133,17434,43121,-0.5834090909090909,-0.6079995375989827,Rep (McCain),Rep (Romney),7
alabama,cleburne,5204,1166,0,6370,5269,971,62,6302,14823,-0.6339089481946625,-0.6887820512820513,Rep (McCain),Rep (Romney),4
alabama,calhoun,32326,16325,0,48651,30272,15500,468,46240,117149,-0.3288935479229615,-0.32273005330769905,Rep (McCain),Rep (Romney),9
alabama,russell,8700,10078,0,18778,8276,10495,100,18871,51663,0.07338374693790606,0.11821426668797613,Dem (Obama),Dem (Obama),7
alabama,pickens,5426,4584,0,10010,5119,4448,32,9599,19917,-0.08411588411588411,-0.07013692902686318,Rep (McCain),Rep (Romney),5
alabama,dallas,6791,13958,0,20749,6284,14599,53,20936,44066,0.3454142368306906,0.3981707609060001,Dem (Obama),Dem (Obama),7
alabama,covington,12431,3238,0,15669,12148,3155,112,15415,37608,-0.5866998532133512,-0.5876625498268313,Rep (McCain),Rep (Romney),7
alabama,tuscaloosa,45351,32738,0,78089,45703,32003,789,78495,188331,-0.16152082879791008,-0.1763055619900651,Rep (McCain),Rep (Romney),9
alabama,marshall,25680,7021,0,32701,25785,6271,399,32455,90867,-0.5705941714320663,-0.6087471924132768,Rep (McCain),Rep (Romney),9
alabama,macon,1396,9444,0,10840,1322,9045,18,10385,21699,0.7424354243542436,0.7449599691328254,Dem (Obama),Dem (Obama),5
alabama,clay,4946,1722,0,6668,4802,1770,68,6640,14040,-0.483503299340132,-0.4613511868533171,Rep (McCain),Rep (Romney),4
alabama,wilcox,1849,4553,0,6402,1676,4867,4,6547,12012,0.42236800999687596,0.4876967751795812,Dem (Obama),Dem (Obama),3
alabama,randolph,7169,3062,0,10231,7219,3076,96,10391,22817,-0.4014270354804027,-0.4024283632831472,Rep (McCain),Rep (Romney),5
alabama,dekalb,17951,5654,0,23605,18316,5235,291,23842,70038,-0.52094895149332765,-0.5554328903231285,Rep (McCain),Rep (Romney),8
alabama,conecuh,3461,3411,0,6872,3434,3551,28,7013,13382,-0.007275902211874272,0.016750178954903366,Rep (McCain),Dem (Obama),3
alabama,mobile,97670,81741,0,179411,94566,78417,1206,174189,408620,-0.08878496859166941,-0.09335599451969269,Rep (McCain),Rep (Romney),10
