county,dem_96,rep_96,lib_96,dem_00,rep_00,lib_00,pdem_96,prep_96,plib_96,pdem_00,prep_00,plib_00
Alachua,40144,25303,8072,47365,34124,263,0.5460357186577619,0.3441695344060719,0.10979474693616616,0.5793742049124181,0.41740874840982484,0.003217046677757119
Baker,2273,3684,667,2392,5610,73,0.3431461352657005,0.5561594202898551,0.10069444444444445,0.29622291021671826,0.6947368421052632,0.009040247678018577
Bay,17020,28290,5922,18850,38637,248,0.3322142410993129,0.5521939412866959,0.11559181761399126,0.3264917294535377,0.6692127825409198,0.004295488005542565
Bradford,3356,4038,819,3075,5414,65,0.4086204797272617,0.4916595641056861,0.09971995616705223,0.35948094458732754,0.6329202712181435,0.007598784194528876
Brevard,80416,87980,25249,97318,115185,570,0.4152753750419582,0.4543365436752821,0.1303880812827597,0.45673548502156536,0.5405893754722559,0.0026751395061786337
Broward,320736,142834,38964,386561,177323,788,0.6382374127919703,0.28422753485336316,0.07753505235466655,0.684576178737391,0.31402832086591864,0.001395500396690468
Calhoun,1794,1717,630,2155,2873,90,0.4332286887225308,0.4146341463414634,0.1521371649360058,0.4210629152012505,0.5613520906604142,0.017584994138335287
Charlotte,27121,27836,7783,29645,35426,182,0.4322760599298693,0.44367229837424293,0.1240516416958878,0.4543086141633335,0.5429022420425115,0.002789143794155058
Citrus,22042,20114,7244,25525,29765,270,0.44619433198380565,0.40716599190283403,0.14663967611336032,0.45941324694024477,0.5357271418286537,0.004859611231101512
Clay,13246,30332,3281,14632,41736,186,0.28267782069613095,0.6473036129665592,0.0700185663373098,0.25872617321498037,0.7379849347526258,0.0032888920323938184
Collier,23182,42590,6320,29918,60433,122,0.3215613382899628,0.5907729012927926,0.08766576041724464,0.33068429255136894,0.6679672388447382,0.001348468603892874
Columbia,6691,7588,1970,7047,10964,89,0.4117791864114715,0.46698258354360267,0.12123823004492584,0.38933701657458564,0.6057458563535911,0.004917127071823205
De Soto,3219,3272,965,3320,4256,36,0.43173283261802575,0.4388412017167382,0.12942596566523606,0.43615344193378874,0.55911718339464,0.004729374671571204
Dixie,1731,1398,652,1826,2697,29,0.4578153927532399,0.3697434541126686,0.1724411531340915,0.40114235500878737,0.5924868189806678,0.0063708260105448155
Duval,112258,126857,13844,107864,152098,652,0.44377942670551357,0.5014923367027858,0.05472823659170063,0.41388413515774286,0.5836140805942889,0.0025017842479682596
Escambia,37768,60839,8587,40943,73017,502,0.35233315297497997,0.5675597514786276,0.08010709554639252,0.35769949852352745,0.6379147664727158,0.004385735003756705
Flagler,9583,8232,2185,13897,12613,83,0.47915,0.4116,0.10925,0.5225811303726544,0.47429774752754483,0.0031211220998006994
Franklin,2095,1563,878,2046,2454,33,0.4618606701940035,0.3445767195767196,0.1935626102292769,0.4513567174056916,0.5413633355393779,0.00727994705493051
Gadsden,9405,3813,938,9735,4767,38,0.6643825939530941,0.26935575021192426,0.06626165583498163,0.6695323246217332,0.3278541953232462,0.0026134800550206326
Gilchrist,1985,1939,841,1910,3300,29,0.41657922350472193,0.4069254984260231,0.176495278069255,0.3645733918686772,0.6298912006108036,0.005535407520519183
Glades,1530,1361,521,1442,1841,9,0.44841735052754983,0.3988862837045721,0.15269636576787807,0.4380315917375456,0.5592345078979344,0.0027339003645200487
Gulf,2480,2424,1054,2397,3550,71,0.41624706277274254,0.4068479355488419,0.17690500167841558,0.3983050847457627,0.5898969757394483,0.011797939514788967
Hamilton,1734,1518,406,1722,2146,23,0.4740295243302351,0.4149808638600328,0.11098961180973209,0.4425597532767926,0.5515291698792084,0.005911076843998972
Hardee,2417,2926,851,2339,3765,30,0.39021633839199227,0.4723926380368098,0.13739102357119792,0.3813172481252038,0.613791979132703,0.00489077274209325
Hendry,3882,3855,1135,3240,4747,22,0.43755635707844903,0.4345130748422002,0.12793056807935077,0.4045448870021226,0.5927082032713198,0.0027469097265576227
Hernando,28520,22039,7272,32644,30646,242,0.49316110736456226,0.3810931853158341,0.12574570731960366,0.5138198073411824,0.4823710885852799,0.0038091040735377447
Highlands,14244,15608,3739,14167,20206,127,0.4240421541484326,0.46464826888154565,0.11130957697002174,0.4106376811594203,0.5856811594202899,0.0036811594202898553
Hillsborough,144223,136621,25154,169557,180760,847,0.47132007398741166,0.4464767743580023,0.08220315165458597,0.48284277431627387,0.5147452472349102,0.002411978448815938
Holmes,2310,3248,1208,2177,5011,76,0.3414129470883831,0.48004729530002954,0.17853975761158736,0.29969713656387664,0.6898403083700441,0.010462555066079295
Indian River,16373,22709,4635,19768,28635,105,0.3745224969691424,0.5194546743829631,0.10602282864789442,0.40752040900470027,0.5903149995876968,0.0021645914076028694
Jackson,6665,7187,1602,6868,9138,102,0.4312799275268539,0.4650575902678918,0.1036624822052543,0.4263719890737522,0.5672957536627763,0.006332257263471567
Jefferson,2543,1851,393,3041,2478,29,0.5312304157092125,0.38667223730937955,0.08209734698140798,0.5481254506128335,0.446647440519106,0.005227108868060562
Lafayette,829,1166,316,789,1670,10,0.35871916919082647,0.5045434876676763,0.1367373431414972,0.3195625759416768,0.6763872012960713,0.004050222762251924
Lake,29750,35089,8813,36571,50010,289,0.4039265736164666,0.47641611904632597,0.1196573073372074,0.42098538045355127,0.5756878093703235,0.0033268101761252445
Lee,65692,80882,18389,73560,106141,305,0.3982226317416633,0.4903038863260246,0.11147348193231209,0.4086530448985034,0.589652567136651,0.0016943879648456163
Leon,50058,33914,6672,61425,39053,282,0.5522483562066988,0.3741450068399453,0.07360663695335598,0.6096169114728067,0.3875843588725685,0.002798729654624851
Levy,4938,4299,1774,5398,6858,67,0.4484606302788121,0.3904277540641177,0.1611116156570702,0.4380426844112635,0.5565203278422463,0.005436987746490303
Liberty,868,913,376,1017,1317,39,0.40241075567918405,0.4232730644413537,0.1743161798794622,0.42857142857142855,0.5549936788874842,0.01643489254108723
Madison,2791,2195,578,3014,3038,29,0.5016175413371675,0.3945003594536305,0.10388209920920201,0.4956421641177438,0.4995888834073343,0.004768952474921888
Manatee,41835,44059,10360,49177,57952,271,0.4346312880503667,0.4577368213269059,0.10763189062272736,0.4578864059590317,0.5395903165735568,0.0025232774674115457
Marion,37033,41397,11340,44665,55141,563,0.4125320262894063,0.46114514871337864,0.12632282499721512,0.44500792077235,0.5493827775508374,0.005609301676812561
Martin,20851,28516,5005,26620,33970,112,0.383487824615611,0.5244611196939601,0.0920510556904289,0.4385357978320319,0.5596191229284043,0.0018450792395637706
Miami-Dade,317378,209634,24722,328764,289492,560,0.5752373426325005,0.37995483330735463,0.04480782406014493,0.5312790878063915,0.46781595821698213,9.049539766263316e-4
Monroe,15219,12021,4817,16483,16059,47,0.47474810493807906,0.3749883020869077,0.15026359297501327,0.5057841602994876,0.4927736352757065,0.001442204424805916
Nassau,7276,12134,1657,6879,16280,90,0.34537428205249915,0.5759718991788104,0.07865381876869038,0.2958836939223192,0.7002451718353477,0.0038711342423330035
Okaloosa,16434,40631,5432,16948,52093,267,0.2629566219178521,0.650127206105893,0.08691617197625486,0.24453165579731057,0.7516159750678132,0.003852369134876205
Okeechobee,4824,3415,1666,4588,5057,43,0.48702675416456337,0.3447753659767794,0.16819787985865725,0.47357555739058627,0.5219859620148638,0.004438480594549959
Orange,105513,106026,18191,140220,134517,446,0.45929134201018584,0.46152439820659036,0.07918425978322378,0.5095518255124771,0.48882743483427393,0.0016207396532489289
Osceola,21870,18335,6091,28181,26212,145,0.4723950233281493,0.39603853464662175,0.13156644202522896,0.5167222853790018,0.48061901793245076,0.0026586966885474347
Palm Beach,230621,133762,30739,268945,152846,3407,0.5836703600406963,0.3385334149958747,0.07779622496342901,0.6325170861575078,0.35947017624730127,0.008012737595190946
Pasco,66472,48346,18011,69564,68582,570,0.5004328873965775,0.36397172304240794,0.13559538956101455,0.501485048588483,0.4944058363851322,0.004109115026384844
Pinellas,184728,152125,36990,200629,184823,1013,0.4941325636697758,0.4069221571622312,0.09894527916799298,0.5191388612164103,0.47823994410878085,0.002621194674808844
Polk,66735,67943,14991,75193,90180,532,0.4458839171772378,0.45395506083424086,0.10016102198852134,0.4532292577077243,0.543564087881619,0.003206654410656701
Putnam,12008,9781,3272,12102,13447,148,0.4791508718726308,0.39028769801683894,0.1305614301105303,0.4709499163326458,0.5232906564968673,0.005759427170486827
Santa Rosa,10923,26244,4957,12802,36274,311,0.25930585889279273,0.6230177570980914,0.11767638400911594,0.2592180128373864,0.7344847834450361,0.0062972037175775
Sarasota,63648,69198,14939,72853,83100,305,0.4306797036235071,0.4682342592279325,0.1010860371485604,0.46623532875116797,0.5318127711861153,0.001951900062716789
Seminole,45051,59778,9357,59174,75677,194,0.3945404865745363,0.5235142661972572,0.0819452472282066,0.4381798659706024,0.5603835758450887,0.001436558184308934
St Johns,16713,27311,4205,19502,39546,229,0.3465342428829128,0.5662775508511476,0.08718820626593958,0.3289977562967087,0.6671390252543145,0.0038632184489768378
St Lucie,36168,28892,8482,41559,34705,124,0.4918006037366403,0.3928639416931821,0.11533545457017759,0.5440514216892706,0.45432528669424516,0.0016232916164842645
Sumter,7014,5960,2375,9637,12127,114,0.45696788064369015,0.38829891198123656,0.1547332073750733,0.44048816162354876,0.5543011244172228,0.005210713959228449
Suwannee,4479,5742,1874,4075,8006,108,0.37031831335262505,0.4747416287722199,0.15494005787515502,0.3343178275494298,0.6568217245057019,0.008860447944868325
Taylor,3583,3188,1140,2649,4056,27,0.4529136645177601,0.40298318796612315,0.1441031475161168,0.39349376114081996,0.6024955436720143,0.004010695187165776
Union,1388,1636,425,1407,2332,37,0.402435488547405,0.47434038851841115,0.12322412293418382,0.3726165254237288,0.6175847457627118,0.009798728813559322
Volusia,78905,63067,17319,97063,82214,496,0.49535127533884526,0.3959231846118111,0.10872554004934365,0.5399197877323069,0.45732117726243654,0.0027590350052566293
Wakulla,3054,2931,1091,3838,4512,46,0.43159977388355003,0.41421707179197287,0.1541831543244771,0.45712243925678897,0.5373987613149118,0.00547879942829919
Walton,5341,7706,2342,5642,12182,120,0.3470660861654428,0.5007472870231984,0.15218662681135875,0.31442264823896565,0.6788898796255015,0.006687472135532769
Washington,2992,3522,1287,2798,4994,88,0.38354057172157413,0.45148057941289577,0.16497884886553005,0.3550761421319797,0.633756345177665,0.01116751269035533
