styear,stmon,events,warevents,fatalmin,fatalmax,warfatalmin,warfatalmax
1816,7,2,0,0,0,0,0
1818,3,3,0,0,0,0,0
1818,4,3,0,0,0,0,0
1818,5,2,0,2,40,0,0
1821,3,4,0,27,125,0,0
1821,4,1,0,27,125,0,0
1821,7,1,0,0,0,0,0
1821,8,2,0,0,0,0,0
1822,9,1,0,0,0,0,0
1823,1,1,0,0,0,0,0
1823,4,5,0,0,0,0,0
1823,7,2,0,0,0,0,0
1823,8,2,2,170,195,170,195
1823,10,1,0,0,0,0,0
1826,3,1,0,0,0,0,0
1826,4,1,0,0,0,0,0
1826,7,1,0,0,0,0,0
1826,10,1,0,0,0,0,0
1827,8,6,0,0,0,0,0
1827,10,3,0,2160,3200,0,0
1827,11,1,0,0,0,0,0
1827,12,1,0,0,0,0,0
1828,5,1,0,500,700,0,0
1828,7,2,1,2795,3445,2795,3445
1828,8,6,3,14300,16770,14300,16770
1828,9,3,0,0,0,0,0
1828,10,5,0,111,225,0,0
1829,2,1,1,3900,5200,3900,5200
1829,6,1,1,6890,8710,6890,8710
1829,8,3,3,14400,19100,14400,19100
1829,9,3,0,252,525,0,0
1830,8,1,0,0,0,0,0
1830,9,1,0,0,0,0,0
1831,1,1,0,0,0,0,0
1831,4,2,0,0,0,0,0
1831,5,2,0,0,0,0,0
1831,7,4,0,3,3,0,0
1831,8,8,0,162,290,0,0
1833,6,4,0,0,0,0,0
1833,7,1,0,0,0,0,0
1833,9,2,0,0,0,0,0
1835,11,1,0,0,0,0,0
1835,12,1,0,0,0,0,0
1836,4,1,0,0,0,0,0
1836,5,1,0,0,0,0,0
1836,7,1,0,0,0,0,0
1836,8,1,0,0,0,0,0
1836,11,1,0,0,0,0,0
1836,12,1,0,0,0,0,0
1837,1,1,0,0,0,0,0
1837,2,1,0,0,0,0,0
1837,4,4,0,0,0,0,0
1837,12,1,0,0,0,0,0
1838,1,1,0,0,0,0,0
1838,2,1,0,0,0,0,0
1838,3,5,0,0,0,0,0
1838,4,2,0,0,0,0,0
1838,5,1,0,0,0,0,0
1838,10,1,0,0,0,0,0
1838,11,1,0,40,95,0,0
1839,2,5,0,0,0,0,0
1839,3,3,0,0,0,0,0
1839,4,2,0,0,0,0,0
1839,10,1,0,0,0,0,0
1840,12,2,0,0,0,0,0
1841,2,1,0,0,0,0,0
1842,2,3,0,0,0,0,0
1842,3,2,0,0,0,0,0
1842,10,3,0,0,0,0,0
1842,11,2,0,0,0,0,0
1843,1,2,0,0,0,0,0
1843,8,1,0,0,0,0,0
1843,9,1,0,0,0,0,0
1843,10,1,0,0,0,0,0
1843,11,2,0,0,0,0,0
1843,12,2,0,0,0,0,0
1844,2,1,0,0,0,0,0
1844,4,1,0,0,0,0,0
1844,5,1,0,0,0,0,0
1844,10,3,0,0,0,0,0
1844,11,1,0,0,0,0,0
1844,12,3,0,0,0,0,0
1845,3,1,0,0,0,0,0
1845,4,3,0,0,0,0,0
1845,7,5,0,0,0,0,0
1845,8,2,0,0,0,0,0
1845,9,4,0,0,0,0,0
1845,11,1,0,0,0,0,0
1846,1,2,0,0,0,0,0
1846,3,2,0,0,0,0,0
1846,4,3,0,15,16,0,0
1846,5,5,0,302,302,0,0
1846,7,3,0,0,0,0,0
1846,8,1,0,0,0,0,0
1846,9,3,2,321,488,321,488
1846,10,2,2,29,31,29,31
1846,11,4,1,7,8,7,8
1846,12,5,2,52,90,52,90
1847,1,6,6,95,95,95,95
1847,2,4,4,1302,1444,1302,1444
1847,3,1,1,93,363,93,363
1847,4,2,2,1067,3091,1067,3091
1847,5,1,1,2,50,2,50
1847,6,3,3,4,42,4,42
1847,7,3,2,56,68,56,68
1847,8,4,2,1162,1502,1162,1502
1847,9,4,4,4213,5425,4213,5425
1847,10,5,5,258,308,258,308
1847,11,6,6,143,286,143,286
1848,1,1,1,16,38,16,38
1848,2,1,1,151,151,151,151
1848,3,8,3,352,382,352,382
1848,4,26,15,1512,2450,1512,2450
1848,5,21,18,857,1375,857,1375
1848,6,8,8,900,1270,900,1270
1848,7,8,8,759,970,759,970
1848,8,2,2,12,22,12,22
1848,9,2,0,0,0,0,0
1849,3,6,2,1515,1665,1515,1665
1849,4,6,3,2240,2905,2240,2905
1849,5,5,3,294,484,294,484
1849,6,3,1,0,0,0,0
1849,7,1,1,1600,1900,1600,1900
1849,9,2,0,0,0,0,0
1849,10,2,0,0,0,0,0
1849,11,2,0,0,0,0,0
1850,1,1,0,0,0,0,0
1850,5,1,0,0,0,0,0
1850,6,2,0,0,0,0,0
1850,9,4,0,0,0,0,0
1850,10,6,0,0,0,0,0
1850,11,2,0,0,0,0,0
1851,5,2,0,0,0,0,0
1851,8,1,0,0,0,0,0
1851,10,2,2,2,50,2,50
1851,12,1,1,5,12,5,12
1852,1,1,1,75,150,75,150
1852,2,2,2,975,1250,975,1250
1852,4,5,0,0,0,0,0
1852,6,1,0,0,0,0,0
1852,7,2,0,0,0,0,0
1852,10,1,0,0,0,0,0
1853,1,3,0,0,0,0,0
1853,2,1,0,0,0,0,0
1853,5,1,0,0,0,0,0
1853,6,4,0,0,0,0,0
1853,7,1,0,0,0,0,0
1853,9,1,0,0,0,0,0
1853,11,3,3,3585,4465,3585,4465
1853,12,1,1,1300,1550,1300,1550
1854,1,5,2,5700,8100,5700,8100
1854,2,1,0,0,0,0,0
1854,3,1,0,0,0,0,0
1854,4,6,2,203,403,203,403
1854,5,11,1,4200,4800,4200,4800
1854,6,2,1,800,1600,800,1600
1854,7,4,2,2200,3100,2200,3100
1854,8,6,5,1495,2040,1495,2040
1854,9,5,5,61805,72165,61805,72165
1854,10,6,3,320,560,320,560
1854,11,2,2,5070,5830,5070,5830
1854,12,3,0,0,0,0,0
1855,1,1,0,0,0,0,0
1855,2,3,3,250,300,250,300
1855,3,2,0,0,0,0,0
1855,5,2,2,80,100,80,100
1855,6,3,2,1850,2425,1850,2425
1855,7,1,1,5000,8000,5000,8000
1855,8,5,5,2910,3540,2910,3540
1855,9,2,2,6600,8000,6600,8000
1855,10,5,2,42,402,42,402
1855,11,1,1,200,400,200,400
1856,3,1,0,0,0,0,0
1856,5,2,0,0,0,0,0
1856,6,1,0,0,0,0,0
1856,7,1,0,0,0,0,0
1856,8,1,0,0,0,0,0
1856,10,1,0,0,0,0,0
1856,11,3,0,0,0,0,0
1856,12,2,2,102,220,102,220
1857,1,1,0,0,0,0,0
1857,2,1,1,815,1025,815,1025
1857,3,1,1,110,230,110,230
1857,8,1,0,0,0,0,0
1857,9,2,0,0,0,0,0
1857,11,1,0,0,0,0,0
1858,1,1,0,0,0,0,0
1858,2,2,0,0,0,0,0
1858,5,3,0,0,0,0,0
1858,10,4,0,0,0,0,0
1858,11,2,0,0,0,0,0
1859,2,3,0,0,0,0,0
1859,3,1,0,0,0,0,0
1859,4,3,0,0,0,0,0
1859,5,6,6,1830,2630,1830,2630
1859,6,10,9,12530,15920,12530,15920
1859,10,2,0,0,0,0,0
1859,11,3,0,0,0,0,0
1859,12,2,0,200,400,0,0
1860,1,1,1,500,800,500,800
1860,2,3,1,3800,4900,3800,4900
1860,3,4,1,266,416,250,400
1860,5,1,0,0,0,0,0
1860,9,9,3,750,875,750,875
1860,10,1,1,550,600,550,600
1860,11,2,1,840,950,840,950
1860,12,3,0,0,0,0,0
1861,3,1,0,0,0,0,0
1861,4,1,0,0,0,0,0
1861,5,4,0,0,0,0,0
1861,8,1,0,0,0,0,0
1861,10,3,0,0,0,0,0
1861,11,1,0,0,0,0,0
1861,12,5,0,0,0,0,0
1862,1,2,0,0,0,0,0
1862,2,1,0,0,0,0,0
1862,3,10,0,0,0,0,0
1862,4,7,1,57,57,52,52
1862,5,4,2,234,755,234,755
1862,6,8,1,2,10,0,0
1862,7,4,0,52,200,0,0
1862,8,2,0,0,0,0,0
1862,9,1,0,0,0,0,0
1862,12,2,0,0,0,0,0
1863,1,8,2,308,401,308,401
1863,2,1,1,405,471,405,471
1863,3,2,2,902,1605,902,1605
1863,4,5,3,345,401,345,401
1863,5,2,2,1113,2113,1113,2113
1863,6,4,1,2,10,0,0
1863,7,5,0,9,16,0,0
1863,8,2,0,0,0,0,0
1863,9,1,0,0,0,0,0
1863,10,5,2,134,143,134,143
1863,11,8,4,42,450,2,50
1863,12,6,3,330,460,330,460
1864,1,9,1,1989,2089,1989,2089
1864,2,9,5,855,1272,855,1272
1864,3,3,3,922,1038,922,1038
1864,4,7,0,0,0,0,0
1864,5,6,2,55,90,55,90
1864,6,4,2,300,425,300,425
1864,7,5,1,30,35,30,35
1864,8,7,2,375,820,375,820
1864,9,8,2,322,475,292,425
1864,10,1,0,0,0,0,0
1864,11,10,2,340,380,340,380
1864,12,7,1,226,385,51,51
1865,1,6,1,824,2120,800,2000
1865,2,3,1,60,110,60,110
1865,3,3,1,70,70,70,70
1865,4,9,2,1160,2451,1102,2312
1865,5,4,2,700,900,700,900
1865,6,5,4,1042,1227,1042,1227
1865,7,4,2,42,110,42,110
1865,8,9,9,4572,4992,4572,4992
1865,9,7,2,80,110,80,110
1865,11,6,0,4,4,0,0
1865,12,3,0,3,10,0,0
1866,1,6,4,1842,4305,1842,4305
1866,2,2,0,2,12,0,0
1866,3,9,2,4,70,4,70
1866,4,14,6,1952,3400,1952,3400
1866,5,12,5,8743,10338,8600,10095
1866,6,27,14,9420,12050,9420,12050
