state_name,rep20,dem20,tot20,rep24,dem24,tot24,rep_share20,dem_share20,rep_margin20,rep_share24,dem_share24,rep_margin24,rep_shift
Alabama,1441168,849648,2323304,1462616,772412,2256352,0.6203096968799606,0.36570676932506463,0.254602927554896,0.64822155408376,0.34232779282665116,0.3058937612571089,0.05129083370221288
Alaska,189892,153405,391346,184407,139690,324097,0.48522790574070007,0.39199327449367055,0.09323463124702952,0.5689870625152347,0.4310129374847654,0.1379741250304693,0.04473949378343978
Arizona,1661686,1672143,3387326,1770242,1582860,3389319,0.4905598103046474,0.49364690614366613,-0.0030870958390187275,0.5223002024890546,0.46701417010319773,0.05528603238585689,0.058373128224875614
Arkansas,760647,423932,1219069,759241,396905,1182676,0.6239572985614432,0.34775061953014963,0.2762066790312936,0.6419687217800987,0.3355990989924544,0.3063696227876443,0.030162943756350702
California,6005961,11109764,17495906,6081697,9276179,15862536,0.3432780788831399,0.6349922090345022,-0.29171413015136227,0.38340004397783556,0.584785371015076,-0.20138532703724044,0.09032880311412184
Colorado,1364607,1804352,3256953,1377441,1728159,3190873,0.4189827117554352,0.5540000116673468,-0.13501729991191158,0.4316815492186621,0.54159441632431,-0.10991286710564796,0.02510443280626362
Connecticut,715291,1080680,1824280,736918,992053,1758429,0.3920949634924463,0.5923871335540597,-0.20029217006161337,0.41907748336725564,0.5641700631643359,-0.1450925797970803,0.05519959026453308
Delaware,200603,296268,504010,214351,289758,511697,0.39801392829507354,0.5878216702049562,-0.1898077419098827,0.4189022018890085,0.5662687098028716,-0.14736650791386308,0.04244123399601962
District of Columbia,18586,317323,344356,21076,294185,325869,0.05397321376714795,0.9214969392140692,-0.8675237254469212,0.06467629630311567,0.9027707452994915,-0.8380944489963759,0.029429276450545383
Florida,5668731,5297045,11067456,6110125,4683038,10893547,0.5121981962250404,0.47861450725442234,0.03358368897061803,0.5608939861369304,0.42989101713151834,0.13100296900541208,0.09741928003479405
Georgia,2461854,2473633,4997716,2663117,2548017,5250047,0.49259581776955713,0.4949526943907977,-0.0023568766212405667,0.5072558398048627,0.4853322265495909,0.021923613255271757,0.024280489876512323
Hawaii,196864,366130,574469,193661,313044,516701,0.3426886394217965,0.6373363923901899,-0.2946477529683934,0.3748028356825321,0.6058513531036325,-0.23104851742110039,0.06359923554729302
Idaho,554118,287021,868105,605246,274972,904812,0.6383075780003571,0.33062935935169135,0.30767821864866574,0.6689190682705357,0.3038995946119194,0.3650194736586163,0.057341255009950576
Illinois,2446891,3471915,6038850,2449079,3062863,5592368,0.40519155137153595,0.5749298293549269,-0.16973827798339092,0.43793237497961507,0.5476862395321624,-0.10975386455254738,0.05998441343084354
Indiana,1729852,1242495,3033198,1720347,1163603,2933700,0.5703063235568532,0.40963201215350925,0.16067431140334393,0.5864086307393394,0.396633261751372,0.18977536898796737,0.029101057584623446
Iowa,897672,759061,1690871,927019,707278,1656849,0.5308932496920227,0.44891715571442176,0.08197609397760092,0.5595072333085273,0.4268813875012147,0.13262584580731257,0.05064975182971165
Kansas,758100,558669,1349567,758802,544853,1327591,0.5617357270887625,0.413961663259401,0.14777406382936153,0.5715630792917397,0.4104072715166041,0.16115580777513555,0.013381743945774016
Kentucky,1326646,772474,2136768,1337494,704043,2073309,0.6208657186929044,0.3615151481115404,0.259350570581364,0.64510114025454,0.33957456413877524,0.3055265761157648,0.046176005534400766
Louisiana,1255776,856034,2148062,1208505,766870,2006975,0.5846088241400853,0.39851456801526214,0.18609425612482317,0.6021524931800346,0.3821024178178602,0.2200500753621744,0.03395581923735125
Maine,359899,430473,813740,377977,435652,831375,0.4422776316759653,0.5290055791776243,-0.08672794750165896,0.45464080589385053,0.52401383250639,-0.06937302661253947,0.017354920889119496
Maryland,976414,1985023,3037030,1035550,1902577,3015650,0.32150291567748757,0.6536066486007711,-0.33210373292328355,0.34339197188002585,0.6309011324258452,-0.2875091605458194,0.04459457237746417
Massachusetts,1167202,2382202,3631402,1251308,2126545,3453437,0.3214191103050557,0.6560006300596849,-0.3345815197546292,0.36233699934297336,0.6157763989903392,-0.25343939964736584,0.08114212010726335
Michigan,2649852,2804040,5539302,2816636,2736533,5662504,0.4783729069113762,0.5062081829082437,-0.02783527599686747,0.4974188097703772,0.48327259459772565,0.014146215172651577,0.04198149116951905
Minnesota,1484065,1717077,3277171,1519032,1656979,3240916,0.4528494240916937,0.5239509930974001,-0.07110156900570641,0.4687045267449079,0.5112687277300615,-0.042564200985153566,0.028537368020552845
Mississippi,756764,539398,1315178,747744,466668,1228008,0.5754080436260339,0.41013307704356367,0.16527496658247026,0.6089080852893467,0.3800203256004847,0.228887759688862,0.06361279310639173
Missouri,1718736,1253014,3025962,1751986,1200599,2993596,0.5679965577888949,0.4140878173618836,0.1539087404270113,0.5852446355486846,0.4010557870868347,0.18418884846184985,0.03028010803483855
Montana,343602,244786,605750,352079,231906,602963,0.5672340074288073,0.4041040033016921,0.16313000412711515,0.583914767572803,0.38461066433595426,0.19930410323684877,0.036174099109733626
Nebraska,556846,374583,956379,564816,369995,947159,0.5822440685125876,0.391667947539626,0.19057612097296156,0.5963264879497528,0.3906366301750815,0.20568985777467136,0.015113736801709798
Nevada,669890,703486,1405376,751205,705197,1484840,0.4766624732455941,0.5005678195728402,-0.02390534632724617,0.505916462379785,0.47493130572991027,0.03098515664987478,0.05489050297712095
New Hampshire,365654,424921,804430,395578,418496,822153,0.45455042701042975,0.5282261974317218,-0.07367577042129209,0.4811488859129627,0.5090244759795318,-0.027875590066569145,0.04580018035472294
